Date,Open,High,Low,Close,Volume,Adj Close
2009-09-28,97.010002,98.239998,96.949997,97.839996,6393200,82.575077
2009-09-25,96.879997,97.349998,96.379997,96.739998,13350100,81.6467
2009-09-24,97.75,98.019997,96.620003,96.989998,16702600,81.857695
2009-09-23,98.360001,99.160004,97.400002,97.580002,13199100,82.355647
2009-09-22,98.309998,98.419998,97.690002,98.209999,8206300,82.887353
2009-09-21,97.559998,98.040001,97.230003,97.739998,7711800,82.490681
2009-09-18,98.339996,98.459999,97.919998,98.110001,9910900,82.802956
2009-09-17,97.970001,98.720001,97.639999,98.059998,15803800,82.613061
2009-09-16,97.32,98.150002,96.940002,98.080002,10580800,82.629914
2009-09-15,96.50,97.309998,95.959999,96.900002,11687700,81.635794
2009-09-14,95.440002,96.449997,95.400002,96.32,8417900,81.147157
2009-09-11,96.370003,96.629997,95.860001,96.220001,8116500,81.062911
2009-09-10,95.57,96.459999,95.190002,96.339996,12244800,81.164004
2009-09-09,95.089996,95.910004,94.870003,95.529999,13560500,80.481601
2009-09-08,95.199997,95.220001,94.620003,95.059998,10862500,80.085637
2009-09-04,93.57,94.57,93.300003,94.449997,8118600,79.571727
2009-09-03,93.239998,93.610001,92.629997,93.449997,7262500,78.729252
2009-09-02,92.940002,93.419998,92.709999,92.830002,10922400,78.206922
2009-09-01,94.599998,95.660004,92.980003,93.209999,17938600,78.52706
2009-08-31,94.709999,95.089996,94.410004,95.050003,9890500,80.077217
2009-08-28,96.389999,96.449997,95.010002,95.580002,10813900,80.523728
2009-08-27,95.50,96.120003,94.599998,95.82,13096800,80.72592
2009-08-26,95.260002,95.849998,94.870003,95.459999,11497200,80.422628
2009-08-25,95.449997,96.82,95.279999,95.480003,14622300,80.439481
2009-08-24,95.43,95.910004,94.889999,95.129997,9349100,80.14461
2009-08-21,93.980003,95.209999,93.900002,95.029999,11866500,80.060364
2009-08-20,93.150002,93.949997,92.93,93.790001,8271000,78.738524
2009-08-19,91.690002,93.449997,91.57,93.129997,14296100,78.184438
2009-08-18,91.879997,92.589996,91.75,92.300003,8539100,77.487641
2009-08-17,91.870003,91.980003,91.400002,91.610001,12121400,76.908371
2009-08-14,94.07,94.120003,92.50,93.410004,10846500,78.419509
2009-08-13,94.139999,94.260002,93.169998,94.190002,10209100,79.074333
2009-08-12,92.550003,94.419998,92.529999,93.769997,13586400,78.72173
2009-08-11,93.190002,93.230003,92.300003,92.580002,9305200,77.722706
2009-08-10,93.489998,93.809998,93.00,93.50,13051400,78.495062
2009-08-07,93.550003,94.50,93.110001,93.790001,11813100,78.738524
2009-08-06,93.239998,93.349998,92.190002,92.629997,10482300,77.764678
2009-08-05,93.129997,93.220001,92.120003,92.830002,11396200,77.932586
2009-08-04,92.589996,93.239998,92.540001,93.190002,12338900,78.234813
2009-08-03,92.470001,93.00,91.970001,92.860001,9843400,77.95777
2009-07-31,91.470001,92.209999,91.360001,91.669998,9151300,76.95874
2009-07-30,91.580002,92.480003,91.269997,91.419998,11659200,76.74886
2009-07-29,90.68,90.949997,90.160004,90.68,9063600,76.127618
2009-07-28,90.610001,91.279999,90.080002,90.989998,11700400,76.387867
2009-07-27,90.860001,91.269997,90.370003,91.139999,10045200,76.513796
2009-07-24,90.400002,91.029999,90.07,90.970001,10895100,76.371079
2009-07-23,88.900002,91.00,88.839996,90.629997,16519600,76.085639
2009-07-22,88.760002,89.529999,88.629997,88.879997,11857700,74.61648
2009-07-21,89.129997,89.269997,88.099998,89.169998,14599300,74.859942
2009-07-20,87.879997,88.540001,87.540001,88.330002,13142300,74.154749
2009-07-17,87.220001,87.540001,86.720001,87.459999,9075000,73.424364
2009-07-16,86.110001,87.50,86.029999,87.230003,11805400,73.125498
2009-07-15,84.589996,86.360001,84.540001,86.199997,11620000,72.262037
2009-07-14,83.540001,83.709999,82.93,83.660004,10288300,70.132744
2009-07-13,81.690002,83.389999,81.389999,83.309998,14384000,69.839331
2009-07-10,81.410004,81.940002,81.019997,81.440002,16023500,68.271702
2009-07-09,82.239998,82.410004,81.529999,81.769997,11452000,68.548338
2009-07-08,81.93,82.279999,80.959999,81.93,17902700,68.68247
2009-07-07,83.160004,83.190002,81.540001,81.550003,15240600,68.363916
2009-07-06,82.209999,83.309998,82.080002,83.25,12392700,69.789035
2009-07-02,84.00,84.040001,82.949997,82.989998,16516500,69.571073
2009-07-01,84.980003,85.830002,84.93,85.029999,9144200,71.28122
2009-06-30,85.330002,85.639999,83.959999,84.660004,13421400,70.97105
2009-06-29,84.510002,85.349998,84.300003,85.25,7529200,71.465648
2009-06-26,84.459999,84.690002,84.019997,84.269997,7779000,70.644105
2009-06-25,82.690002,84.900002,82.57,84.720001,13851400,71.021347
2009-06-24,83.739998,84.279999,82.580002,83.029999,15355500,69.604606
2009-06-23,83.419998,83.709999,82.849998,83.18,12151100,69.730354
2009-06-22,84.580002,84.769997,83.32,83.32,20652400,69.847716
